"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000258556131445305,-0.328295734942541,0.26,0.374,1,"1","YTHDF3"
0.000261244768838079,-0.991371738320131,0.045,0.1,1,"1","SLC16A9"
0.000262187756225026,1.11337835000969,0.144,0.093,1,"1","SCUBE1"
0.000264513802798004,-0.452968206380731,0.189,0.278,1,"1","HIST1H3H"
0.000266555130867879,0.870270940248195,0.191,0.134,1,"1","BNIPL"
0.000268960967763478,-0.392425318727599,0.168,0.256,1,"1","ATE1"
0.000272767662665207,0.627790744600488,0.325,0.265,1,"1","SHROOM4"
0.000273134089467427,-0.325399649511473,0.247,0.354,1,"1","SPSB1"
0.000276733673519984,-0.315357959949391,0.475,0.582,1,"1","SPECC1"
0.000278985566978817,-0.375016419140984,0.271,0.379,1,"1","OAF"
0.000282477164909568,-0.442963439750916,0.183,0.273,1,"1","MYO1E"
0.000287048720845868,-0.846886164382309,0.052,0.109,1,"1","HAS2"
0.000288650891788625,0.51674510258855,0.439,0.384,1,"1","KANK3"
0.000294019785115136,-0.519432266191882,0.142,0.221,1,"1","ZFP28"
0.000294399097641224,-0.373155198733265,0.215,0.313,1,"1","SMIM10L1"
0.000296914721894825,0.518576128996792,0.387,0.337,1,"1","CCDC68"
0.000297762449155137,-0.853164534137124,0.047,0.102,1,"1","BRSK1"
0.000301266479380483,-0.487588596904515,0.166,0.253,1,"1","SLC47A1"
0.00030189052380617,-0.510696848174495,0.209,0.299,1,"1","ALDH1B1"
0.000302297804767365,0.374639271352473,0.499,0.452,1,"1","EZR"
0.000304816808196639,-0.342813499058844,0.267,0.367,1,"1","AGO4"
0.000308353918073652,-0.52176552431046,0.12,0.198,1,"1","FNTB"
0.000308605359441849,-0.616402781402295,0.088,0.157,1,"1","TMEM240"
0.000311182874616265,0.625478262231033,0.271,0.207,1,"1","EHF"
0.000313435977595919,-0.603739259290658,0.103,0.174,1,"1","ZBTB2"
0.000323628313817151,0.531709935486161,0.378,0.321,1,"1","CPAMD8"
0.000324368915002863,-0.351412570697078,0.249,0.351,1,"1","PPP2R3B"
0.000329319356561024,0.262267595615484,0.74,0.729,1,"1","HLA-DOA"
0.000332031681774328,-0.797020267277755,0.052,0.109,1,"1","SHISAL2A"
0.000335332579718009,-0.351251445224734,0.609,0.703,1,"1","THBS1"
0.000336017478627004,-0.275280497589836,0.574,0.682,1,"1","SLC5A3"
0.000338067196996276,-0.386831532689502,0.254,0.356,1,"1","OAT"
0.000338749900934245,-0.786448018625321,0.073,0.135,1,"1","EIF5A2"
0.000339761301509016,-0.405261618233118,0.23,0.329,1,"1","MAP4K1"
0.00034201948385024,-0.557407107288585,0.071,0.133,1,"1","CDKL1"
0.000342208840103459,-0.856003360213825,0.077,0.141,1,"1","NPM2"
0.000345285391387914,-0.306789180510677,0.239,0.342,1,"1","SUMF1"
0.000345350451197888,-0.937631355254258,0.047,0.101,1,"1","SMOX"
0.000347198133029827,-0.41424246768627,0.174,0.263,1,"1","TSKU"
0.000347975204258698,-0.277225776823974,0.396,0.52,1,"1","CPQ"
0.000354696032976878,0.813495382191389,0.204,0.148,1,"1","APLNR"
0.000366512657090119,-0.313714194935718,0.277,0.385,1,"1","RASGRP1"
0.000366683039939271,-0.428947009073867,0.183,0.272,1,"1","AGPAT4"
0.000367858756670035,-0.434573771506859,0.151,0.232,1,"1","SLC29A3"
0.000374324527384398,-0.317409295312084,0.133,0.216,1,"1","MUTYH"
0.00037508318601257,-0.457540948230658,0.112,0.188,1,"1","MAP3K10"
0.000376446134254751,-0.373692841042197,0.256,0.359,1,"1","WDR75"
0.000378325467939677,-0.538151232329793,0.11,0.181,1,"1","RBPMS2"
0.000380159454281712,-0.392175291532422,0.23,0.332,1,"1","TOMM20"
0.000380386941763668,0.349598071932989,0.652,0.645,1,"1","CARD16"
0.000383204398334261,-0.268894784877911,0.471,0.586,1,"1","PRKCSH"
0.000386071556110355,-0.349136871851464,0.323,0.425,1,"1","CFL2"
0.000395171277820284,-0.28030860557666,0.346,0.467,1,"1","TRIM2"
0.00039754120912801,-0.320979422895502,0.206,0.3,1,"1","MAN1A2"
0.000402652254286551,0.543239770906791,0.424,0.377,1,"1","TBX4"
0.000405639519036473,0.33747787926256,0.572,0.538,1,"1","TC2N"
0.000406311902913315,0.47312219137255,0.501,0.473,1,"1","SHANK3"
0.000407997922935765,-0.940054607569991,0.052,0.106,1,"1","ROR2"
0.0004094646364802,-0.341470519828849,0.351,0.464,1,"1","ITM2C"
0.000411539086010198,-0.34379961026997,0.284,0.389,1,"1","NDUFS3"
0.000413651422585203,-0.363541734192718,0.312,0.414,1,"1","CIZ1"
0.000414265227702152,0.469631690128157,0.473,0.423,1,"1","PMM1"
0.000414794476372099,0.427930687366727,0.523,0.487,1,"1","SCARF1"
0.00041547736091393,-0.315155897212144,0.303,0.412,1,"1","NHP2"
0.00041576407614446,-0.307123282172027,0.17,0.262,1,"1","TP53BP1"
0.000420443709531274,0.388134742540578,0.581,0.563,1,"1","GRASP"
0.000420913916235002,-0.384320726204838,0.146,0.231,1,"1","TMEM218"
0.000423818645827017,-0.301081783869923,0.31,0.423,1,"1","SOS1"
0.000423860307897912,-0.27055610736196,0.204,0.308,1,"1","ARHGEF9"
0.00043274019436385,-0.381375697967211,0.189,0.28,1,"1","NAA35"
0.000436420589246694,-0.375461639904807,0.282,0.39,1,"1","RCAN3"
0.000437824995730011,-0.734770369685825,0.075,0.138,1,"1","KCNH8"
0.000442942802260178,-0.383609045325725,0.398,0.501,1,"1","CHI3L1"
